no. vuelo,charter,fecha,origen,destino,precio adulto,precio niño,precio infante,peso incluido,precio maleta,precio caja
WQ901,CHOICE AIRE,10/28/15 09:15,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/2/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/3/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/4/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/6/2015 10:15:00,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/9/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/10/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/11/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/13/15 10:15,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/16/15 09:15,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/17/15 09:15,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/18/15 09:15,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/20/15 10:15,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/21/15 11:00,MIAMI (MIA),HAVANA (HAV),$500.00,$500.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/23/15 09:15,MIAMI (MIA),HAVANA (HAV),$339.00,$339.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/24/15 09:15,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/25/15 09:15,MIAMI (MIA),HAVANA (HAV),$359.00,$359.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/27/15 10:15,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,11/30/15 14:47,MIAMI (MIA),HAVANA (HAV),$349.00,$349.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,12/2/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,12/4/2015 10:15:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
WQ901,CHOICE AIRE,12/7/2015 9:15:00,MIAMI (MIA),HAVANA (HAV),$389.00,$389.00,125,44 lb,$ 20.00 / $ 1.00 lb,$ 20.00 / $ 2.00 lb
